subject_id;benutzername;ziele;vorhanden;fehlend;datei
1009691;rowille01;1;0;1;forensic_1009691.db
1015105;clements32;30;0;30;forensic_1015105.db
1088376;AndyBoo;2;0;2;forensic_1088376.db
12472;will72;69;0;69;forensic_12472.db
1464;KinGoftheKonG;315;0;315;forensic_1464.db
1486389;JanaDE;1;0;1;forensic_1486389.db
1488;Hello77;491;0;491;forensic_1488.db
1547111;Opadad17;1;0;1;forensic_1547111.db
1551440;PeriodLover;4;0;4;forensic_1551440.db
155955;noxus;5;0;5;forensic_155955.db
1574163;newbotb;1;0;1;forensic_1574163.db
1686681;kinderfreund2099;1;0;1;forensic_1686681.db
1704143;ichfickekinder;4;0;4;forensic_1704143.db
1800903;KinderzimmerLover;81;0;81;forensic_1800903.db
1823234;Deppert;1;0;1;forensic_1823234.db
2153197;wonderpenis;11;0;11;forensic_2153197.db
2157761;McHindum;3;0;3;forensic_2157761.db
2627947;Algeroth1985;1;0;1;forensic_2627947.db
2687337;Rabbitgirl123;6;0;6;forensic_2687337.db
2711185;lillilalalolo101;3;0;3;forensic_2711185.db
2775639;feymazx;1;0;1;forensic_2775639.db
2948078;Rabenherz;4;0;4;forensic_2948078.db
2983926;187EngWixx;1;0;1;forensic_2983926.db
3531810;BerndLauert;6;0;6;forensic_3531810.db
38406;CaptCrotch;7;0;7;forensic_38406.db
4021911;rabbitrabbit00;1;0;1;forensic_4021911.db
505734;BiPapaDE;12;0;12;forensic_505734.db
515056;Dosto;5;0;5;forensic_515056.db
524888;Bauzi;2;0;2;forensic_524888.db
574762;ghostshell;12;0;12;forensic_574762.db
745577;OfTheHook;577;0;577;forensic_745577.db
749569;MG2016;1;0;1;forensic_749569.db
782427;Rabbit_1212;5;0;5;forensic_782427.db
